model,case_id,category,variance_wording,variance_seed,variance_interaction,variance_total,wording_disagreement,seed_disagreement,mean_accuracy,empirical_worst_accuracy,crossfit_worst_accuracy,all_wordings_accuracy,semantic_jsd,valid_diversity,valid_diversity_pairs,valid_diversity_wordings,censored_rate,black_rate,uncensored_accuracy
pixart_sigma,main_color_binding_000,color_binding,0.02099609375,0.08740234375,0.09619140625,0.20458984375,0.3125,0.4196428571428571,0.4375,0.25,0.25,0.125,0.07944675861073476,0.24373871833086014,20,4,0.0,0.0,0.4375
pixart_sigma,main_color_binding_001,color_binding,0.018310546875,0.085693359375,0.061767578125,0.165771484375,0.21354166666666666,0.3370535714285714,0.0625,0.0,0.0,0.0,0.06864103700267271,,0,0,0.0,0.0,0.0625
pixart_sigma,main_color_binding_002,color_binding,0.034423828125,0.037353515625,0.119873046875,0.191650390625,0.4114583333333333,0.359375,0.0,0.0,0.0,0.0,0.09595276241563337,,0,0,0.0,0.0,0.0
pixart_sigma,main_color_binding_003,color_binding,0.024169921875,0.085693359375,0.063720703125,0.173583984375,0.234375,0.34151785714285715,0.0625,0.0,0.125,0.0,0.09598649691348332,,0,0,0.0,0.0,0.0625
pixart_sigma,main_color_binding_004,color_binding,0.017822265625,0.065673828125,0.097412109375,0.180908203125,0.30729166666666663,0.3727678571428571,0.3125,0.125,0.375,0.0,0.08039359539754314,0.18610753615697226,10,3,0.0,0.0,0.3125
pixart_sigma,main_color_binding_005,color_binding,0.015380859375,0.065185546875,0.095947265625,0.176513671875,0.296875,0.3683035714285714,0.03125,0.0,0.0,0.0,0.13263378442775658,,0,0,0.0,0.0,0.03125
pixart_sigma,main_color_binding_006,color_binding,0.007080078125,0.064697265625,0.143310546875,0.215087890625,0.40104166666666663,0.47544642857142855,0.0,0.0,0.0,0.0,0.09459029328457695,,0,0,0.0,0.0,0.0
pixart_sigma,main_color_binding_007,color_binding,0.01904296875,0.03271484375,0.05908203125,0.11083984375,0.20833333333333331,0.20982142857142855,0.03125,0.0,0.0,0.0,0.07531354263011907,,0,0,0.0,0.0,0.03125
pixart_sigma,main_color_binding_008,color_binding,0.05126953125,0.07666015625,0.10498046875,0.23291015625,0.41666666666666663,0.4151785714285714,0.125,0.0,0.125,0.0,0.12543954868572713,0.2550939917564392,1,1,0.0,0.0,0.125
pixart_sigma,main_color_binding_009,color_binding,0.02099609375,0.06396484375,0.10791015625,0.19287109375,0.34375,0.39285714285714285,0.125,0.0,0.125,0.0,0.11560557403373954,0.05079585313796997,1,1,0.0,0.0,0.125
