model,case_id,category,own_control_accuracy,exclusive_control,paired_discrimination
pixart_sigma,main_color_binding_000,color_binding,0.25,True,0.125
pixart_sigma,main_color_binding_001,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_002,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_003,color_binding,0.125,True,0.0
pixart_sigma,main_color_binding_004,color_binding,0.25,True,0.125
pixart_sigma,main_color_binding_005,color_binding,0.125,True,0.0
pixart_sigma,main_color_binding_006,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_007,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_008,color_binding,0.25,True,0.0
pixart_sigma,main_color_binding_009,color_binding,0.5,True,0.0
pixart_sigma,main_color_binding_010,color_binding,0.125,True,0.0
pixart_sigma,main_color_binding_011,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_012,color_binding,0.125,True,0.0
pixart_sigma,main_color_binding_013,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_014,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_015,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_016,color_binding,0.125,True,0.0
pixart_sigma,main_color_binding_017,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_018,color_binding,0.125,True,0.125
pixart_sigma,main_color_binding_019,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_020,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_021,color_binding,0.125,True,0.0
pixart_sigma,main_color_binding_022,color_binding,0.0,True,0.0
pixart_sigma,main_color_binding_023,color_binding,0.0,True,0.0
pixart_sigma,main_count_000,count,0.75,True,0.75
pixart_sigma,main_count_001,count,0.25,True,0.125
pixart_sigma,main_count_002,count,0.25,True,0.125
pixart_sigma,main_count_003,count,0.875,True,0.25
pixart_sigma,main_count_004,count,0.625,True,0.125
pixart_sigma,main_count_005,count,0.25,True,0.125
pixart_sigma,main_count_006,count,0.125,True,0.125
pixart_sigma,main_count_007,count,0.0,True,0.0
pixart_sigma,main_count_008,count,0.25,True,0.0
pixart_sigma,main_count_009,count,0.75,True,0.125
pixart_sigma,main_count_010,count,0.875,True,0.375
pixart_sigma,main_count_011,count,0.25,True,0.125
pixart_sigma,main_count_012,count,0.0,True,0.0
pixart_sigma,main_count_013,count,0.25,True,0.0
pixart_sigma,main_count_014,count,0.0,True,0.0
pixart_sigma,main_count_015,count,0.0,True,0.0
pixart_sigma,main_count_016,count,0.625,True,0.25
pixart_sigma,main_count_017,count,0.25,True,0.25
pixart_sigma,main_count_018,count,0.375,True,0.25
pixart_sigma,main_count_019,count,0.25,True,0.125
pixart_sigma,main_count_020,count,0.125,True,0.0
pixart_sigma,main_count_021,count,0.625,True,0.0
pixart_sigma,main_count_022,count,0.375,True,0.0
pixart_sigma,main_count_023,count,0.125,True,0.0
pixart_sigma,main_existence_000,existence,1.0,False,
pixart_sigma,main_existence_001,existence,1.0,False,
pixart_sigma,main_existence_002,existence,1.0,False,
pixart_sigma,main_existence_003,existence,1.0,False,
pixart_sigma,main_existence_004,existence,1.0,False,
pixart_sigma,main_existence_005,existence,1.0,False,
pixart_sigma,main_existence_006,existence,1.0,False,
pixart_sigma,main_existence_007,existence,1.0,False,
pixart_sigma,main_existence_008,existence,1.0,False,
pixart_sigma,main_existence_009,existence,1.0,False,
pixart_sigma,main_existence_010,existence,1.0,False,
pixart_sigma,main_existence_011,existence,1.0,False,
pixart_sigma,main_existence_012,existence,1.0,False,
pixart_sigma,main_existence_013,existence,1.0,False,
pixart_sigma,main_existence_014,existence,1.0,False,
pixart_sigma,main_existence_015,existence,1.0,False,
pixart_sigma,main_existence_016,existence,1.0,False,
pixart_sigma,main_existence_017,existence,1.0,False,
pixart_sigma,main_existence_018,existence,1.0,False,
pixart_sigma,main_existence_019,existence,1.0,False,
pixart_sigma,main_existence_020,existence,1.0,False,
pixart_sigma,main_existence_021,existence,1.0,False,
pixart_sigma,main_existence_022,existence,1.0,False,
pixart_sigma,main_existence_023,existence,1.0,False,
pixart_sigma,main_spatial_000,spatial,0.125,True,0.0
pixart_sigma,main_spatial_001,spatial,0.0,True,0.0
pixart_sigma,main_spatial_002,spatial,0.125,True,0.0
pixart_sigma,main_spatial_003,spatial,0.25,True,0.0
pixart_sigma,main_spatial_004,spatial,0.625,True,0.5
pixart_sigma,main_spatial_005,spatial,0.0,True,0.0
pixart_sigma,main_spatial_006,spatial,0.0,True,0.0
pixart_sigma,main_spatial_007,spatial,0.0,True,0.0
pixart_sigma,main_spatial_008,spatial,0.125,True,0.0
pixart_sigma,main_spatial_009,spatial,0.0,True,0.0
pixart_sigma,main_spatial_010,spatial,0.25,True,0.125
pixart_sigma,main_spatial_011,spatial,0.125,True,0.0
pixart_sigma,main_spatial_012,spatial,0.5,True,0.0
pixart_sigma,main_spatial_013,spatial,0.0,True,0.0
pixart_sigma,main_spatial_014,spatial,0.0,True,0.0
pixart_sigma,main_spatial_015,spatial,0.0,True,0.0
pixart_sigma,main_spatial_016,spatial,0.0,True,0.0
pixart_sigma,main_spatial_017,spatial,0.0,True,0.0
pixart_sigma,main_spatial_018,spatial,0.375,True,0.0
pixart_sigma,main_spatial_019,spatial,0.0,True,0.0
pixart_sigma,main_spatial_020,spatial,0.125,True,0.125
pixart_sigma,main_spatial_021,spatial,0.125,True,0.0
pixart_sigma,main_spatial_022,spatial,0.125,True,0.125
pixart_sigma,main_spatial_023,spatial,0.375,True,0.25
sd15,main_color_binding_000,color_binding,0.0,True,0.0
sd15,main_color_binding_001,color_binding,0.0,True,0.0
sd15,main_color_binding_002,color_binding,0.0,True,0.0
sd15,main_color_binding_003,color_binding,0.0,True,0.0
sd15,main_color_binding_004,color_binding,0.0,True,0.0
sd15,main_color_binding_005,color_binding,0.0,True,0.0
sd15,main_color_binding_006,color_binding,0.0,True,0.0
sd15,main_color_binding_007,color_binding,0.0,True,0.0
sd15,main_color_binding_008,color_binding,0.125,True,0.0
sd15,main_color_binding_009,color_binding,0.0,True,0.0
sd15,main_color_binding_010,color_binding,0.125,True,0.0
sd15,main_color_binding_011,color_binding,0.125,True,0.0
sd15,main_color_binding_012,color_binding,0.125,True,0.0
sd15,main_color_binding_013,color_binding,0.0,True,0.0
sd15,main_color_binding_014,color_binding,0.0,True,0.0
sd15,main_color_binding_015,color_binding,0.0,True,0.0
sd15,main_color_binding_016,color_binding,0.0,True,0.0
sd15,main_color_binding_017,color_binding,0.0,True,0.0
sd15,main_color_binding_018,color_binding,0.125,True,0.0
sd15,main_color_binding_019,color_binding,0.125,True,0.0
sd15,main_color_binding_020,color_binding,0.0,True,0.0
sd15,main_color_binding_021,color_binding,0.0,True,0.0
sd15,main_color_binding_022,color_binding,0.0,True,0.0
