left,right,metric,delta,ci_low,ci_high
pixart_sigma,sd15,mean_accuracy,0.20084635416666669,0.16306966145833335,0.23958333333333331
pixart_sigma,sd15,empirical_worst_accuracy,0.18229166666666666,0.14583333333333331,0.22135416666666669
pixart_sigma,sd15,crossfit_worst_accuracy,0.19010416666666666,0.140625,0.2383138020833332
pixart_sigma,sd15,all_wordings_accuracy,0.19661458333333334,0.16145833333333334,0.23567708333333334
pixart_sigma,sd15,wording_disagreement,-0.07501446759259259,-0.09839816623263888,-0.05139612268518518
pixart_sigma,sd15,seed_disagreement,-0.07505580357142856,-0.09833461216517855,-0.05184229290674607
pixart_sigma,sd15,variance_wording,-0.008617824978298612,-0.01218958960639106,-0.004947047763400608
pixart_sigma,sd15,variance_seed,-0.013324313693576388,-0.019949277242024742,-0.007054011027018231
pixart_sigma,sd15,variance_interaction,-0.019512600368923612,-0.026836034986707898,-0.012083837721082905
pixart_sigma,sd15,variance_total,-0.04145473904079861,-0.053302892049153644,-0.029858101738823795
pixart_sigma,sd15,semantic_jsd,-0.02197518657685317,-0.031363565649969075,-0.012314674741587555
pixart_sigma,sd15,valid_diversity,,,
pixart_sigma,sd15,censored_rate,-0.00390625,-0.006510416666666666,-0.0016276041666666665
pixart_sigma,sd15,black_rate,-0.00390625,-0.0065185546875,-0.0016276041666666665
pixart_sigma,sd15,uncensored_accuracy,0.2004872311827957,0.1615882791498656,0.23959474406362005
pixart_sigma,sdxl,mean_accuracy,0.2314453125,0.1907470703125,0.2718098958333333
pixart_sigma,sdxl,empirical_worst_accuracy,0.21614583333333334,0.17708333333333334,0.2552083333333333
pixart_sigma,sdxl,crossfit_worst_accuracy,0.24218749999999997,0.19661458333333331,0.2903971354166665
pixart_sigma,sdxl,all_wordings_accuracy,0.2109375,0.17447916666666669,0.24869791666666666
pixart_sigma,sdxl,wording_disagreement,-0.032371238425925916,-0.05369646990740741,-0.010467755353009275
pixart_sigma,sdxl,seed_disagreement,-0.08959573412698411,-0.11612878224206348,-0.0636205279637897
pixart_sigma,sdxl,variance_wording,-0.0009189181857638886,-0.003770764668782552,0.001969273885091146
pixart_sigma,sdxl,variance_seed,-0.027977837456597224,-0.03634982638888889,-0.01950325436062284
pixart_sigma,sdxl,variance_interaction,-0.011220296223958334,-0.018344455295138888,-0.004540846082899307
pixart_sigma,sdxl,variance_total,-0.04011705186631945,-0.05193318261040582,-0.028372319539388027
pixart_sigma,sdxl,semantic_jsd,-0.005994575480356368,-0.014610091648517839,0.002578869700396646
pixart_sigma,sdxl,valid_diversity,-0.3370157553775547,-0.36617478518281127,-0.3054613901640793
pixart_sigma,sdxl,censored_rate,0.0,0.0,0.0
pixart_sigma,sdxl,black_rate,0.0,0.0,0.0
pixart_sigma,sdxl,uncensored_accuracy,0.2314453125,0.19009602864583333,0.2727945963541666
sd15,sdxl,mean_accuracy,0.030598958333333332,0.004874674479166665,0.058919270833333336
sd15,sdxl,empirical_worst_accuracy,0.033854166666666664,0.003906249999999999,0.06640625
sd15,sdxl,crossfit_worst_accuracy,0.052083333333333336,0.01041666666666667,0.09114583333333334
sd15,sdxl,all_wordings_accuracy,0.014322916666666666,-0.01171875,0.041666666666666664
sd15,sdxl,wording_disagreement,0.042643229166666664,0.022026005497685183,0.06351318359375
sd15,sdxl,seed_disagreement,-0.014539930555555556,-0.03662322513640873,0.006537349640376961
sd15,sdxl,variance_wording,0.007698906792534723,0.004127968682183159,0.011320559183756507
sd15,sdxl,variance_seed,-0.014653523763020832,-0.02263912624782986,-0.006651560465494799
sd15,sdxl,variance_interaction,0.008292304144965278,0.0015630933973524311,0.01516323089599609
sd15,sdxl,variance_total,0.0013376871744791678,-0.008573447333441842,0.011877822875976558
sd15,sdxl,semantic_jsd,0.01598061109649681,0.007682691839971881,0.02461499524178808
sd15,sdxl,valid_diversity,,,
sd15,sdxl,censored_rate,0.00390625,0.0016276041666666665,0.006510416666666667
sd15,sdxl,black_rate,0.00390625,0.0016276041666666665,0.006510416666666667
sd15,sdxl,uncensored_accuracy,0.030958081317204303,0.003630187331989253,0.05788584719422041
