model,category,metric,estimate,ci_low,ci_high,n_scenes,n_finite
pixart_sigma,all,mean_accuracy,0.4446614583333333,0.4033203125,0.4866536458333333,96,96
pixart_sigma,all,empirical_worst_accuracy,0.3372395833333333,0.2994791666666667,0.3776041666666667,96,96
pixart_sigma,all,crossfit_worst_accuracy,0.42578124999999994,0.3776041666666667,0.4700846354166665,96,96
pixart_sigma,all,all_wordings_accuracy,0.29687500000000006,0.26171875,0.3346354166666667,96,96
pixart_sigma,all,wording_disagreement,0.20017722800925924,0.18282741970486108,0.21848099320023145,96,96
pixart_sigma,all,seed_disagreement,0.24205574156746032,0.22057679191468252,0.2638811383928571,96,96
pixart_sigma,all,variance_wording,0.01430511474609375,0.012267091539171006,0.01650594075520833,96,96
pixart_sigma,all,variance_seed,0.045138041178385414,0.03995770348442925,0.05066536797417534,96,96
pixart_sigma,all,variance_interaction,0.060761345757378474,0.055068757798936635,0.06583472357855902,96,96
pixart_sigma,all,variance_total,0.12020450168185765,0.10979090796576607,0.13062826792399088,96,96
pixart_sigma,all,semantic_jsd,0.058546848847951666,0.05226745387192934,0.06524852092518132,96,96
pixart_sigma,all,valid_diversity,0.27587795001107446,0.24915163089387227,0.3021751259525656,96,71
pixart_sigma,all,censored_rate,0.0,0.0,0.0,96,96
pixart_sigma,all,black_rate,0.0,0.0,0.0,96,96
pixart_sigma,all,uncensored_accuracy,0.4446614583333333,0.4055908203125,0.48535970052083327,96,96
pixart_sigma,color_binding,mean_accuracy,0.11848958333333333,0.07161458333333333,0.16796875,24,24
pixart_sigma,color_binding,empirical_worst_accuracy,0.03125,0.010416666666666666,0.057291666666666664,24,24
pixart_sigma,color_binding,crossfit_worst_accuracy,0.09895833333333333,0.052083333333333336,0.15104166666666666,24,24
pixart_sigma,color_binding,all_wordings_accuracy,0.005208333333333333,0.0,0.015625,24,24
pixart_sigma,color_binding,wording_disagreement,0.3161892361111111,0.28537326388888884,0.3465711805555555,24,24
pixart_sigma,color_binding,seed_disagreement,0.35928199404761907,0.32598121279761905,0.38886021205357135,24,24
pixart_sigma,color_binding,variance_wording,0.022613525390625,0.01867650349934896,0.026876576741536453,24,24
pixart_sigma,color_binding,variance_seed,0.061228434244791664,0.053577423095703125,0.06849161783854167,24,24
pixart_sigma,color_binding,variance_interaction,0.09595743815104167,0.08566818237304688,0.10537033081054685,24,24
pixart_sigma,color_binding,variance_total,0.17979939778645834,0.16524403889973957,0.1931256612141927,24,24
pixart_sigma,color_binding,semantic_jsd,0.10217494940745735,0.09279876286303367,0.11183527845749655,24,24
pixart_sigma,color_binding,valid_diversity,0.24436245784163474,0.17849474024027584,0.31666265349835154,24,10
pixart_sigma,color_binding,censored_rate,0.0,0.0,0.0,24,24
pixart_sigma,color_binding,black_rate,0.0,0.0,0.0,24,24
pixart_sigma,color_binding,uncensored_accuracy,0.11848958333333333,0.07418619791666667,0.1640625,24,24
pixart_sigma,count,mean_accuracy,0.3411458333333333,0.22786458333333334,0.4596679687499998,24,24
