model,model_id,case_id,category,variant_id,kind,seed,image_path,image_sha256,all_correct,atom_accuracy,semantic_state,atom_keys,atom_results,predictions,censored,black_image,alternate_correct,exclusive_control,elapsed_seconds,peak_allocated_bytes,audit_id
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_color_binding_000,color_binding,p2,equivalent,101,images/pixart_sigma/main_color_binding_000/p2/seed_101.png,b7d5d9e2c32242a1b1e5b114be9e5d56d737f2d9c3fc0a6b147c28ef6e7df3c0,0,0.5,1100,"[""count:cat=1"", ""count:dog=1"", ""color:cat=red"", ""color:dog=green""]","{""color:cat=red"": false, ""color:dog=green"": false, ""count:cat=1"": true, ""count:dog=1"": true}","{""colors"": {""cat"": {""confidence"": 0.9988418221473694, ""label"": ""green"", ""margin"": 0.9984163641929626}, ""dog"": {""confidence"": 0.7817683815956116, ""label"": ""red"", ""margin"": 0.6992455720901489}}, ""detections"": {""cat"": [{""box"": [37.790000915527344, 234.66000366210938, 210.33999633789062, 391.1400146484375], ""score"": 0.6855258941650391}], ""dog"": [{""box"": [280.739990234375, 109.3499984741211, 485.55999755859375, 390.989990234375], ""score"": 0.6763687133789062}]}, ""relations"": {}}",0,0,,1,0.8739389679394662,13622855168,item_00000
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_existence_002,existence,p1,equivalent,211,images/sdxl/main_existence_002/p1/seed_211.png,76a153a0f2bf6937e4f2e9283b73a8f20e8fcc5b9eb0f9ceb64d601da80ba432,1,1.0,11,"[""exists:apple"", ""exists:banana""]","{""exists:apple"": true, ""exists:banana"": true}","{""colors"": {}, ""detections"": {""apple"": [{""box"": [24.09000015258789, 237.4199981689453, 222.0500030517578, 466.94000244140625], ""score"": 0.5940343141555786}], ""banana"": [{""box"": [331.9800109863281, 98.11000061035156, 457.69000244140625, 408.95001220703125], ""score"": 0.8420652151107788}]}, ""relations"": {}}",0,0,,0,1.5060708192177117,8061097472,item_00001
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_color_binding_000,color_binding,p0,equivalent,47,images/pixart_sigma/main_color_binding_000/p0/seed_47.png,75908d29a9cafd1b39c55434935aa326a56d0ba85b72d0429613d2b215c92c0f,1,1.0,1111,"[""count:cat=1"", ""count:dog=1"", ""color:cat=red"", ""color:dog=green""]","{""color:cat=red"": true, ""color:dog=green"": true, ""count:cat=1"": true, ""count:dog=1"": true}","{""colors"": {""cat"": {""confidence"": 0.9953715205192566, ""label"": ""red"", ""margin"": 0.9929727911949158}, ""dog"": {""confidence"": 0.9964807629585266, ""label"": ""green"", ""margin"": 0.9947875738143921}}, ""detections"": {""cat"": [{""box"": [2.2200000286102295, 89.11000061035156, 233.19000244140625, 493.3999938964844], ""score"": 0.7281215190887451}], ""dog"": [{""box"": [287.2099914550781, 158.64999389648438, 511.3800048828125, 494.7799987792969], ""score"": 0.5186225771903992}]}, ""relations"": {}}",0,0,0.0,1,0.888062160462141,13622855168,item_00002
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_color_binding_000,color_binding,p0,equivalent,71,images/pixart_sigma/main_color_binding_000/p0/seed_71.png,af8777f23748ae5dc7a491100b20d95611256813c3c0bc4170616d286e87a4e1,0,0.75,0111,"[""count:cat=1"", ""count:dog=1"", ""color:cat=red"", ""color:dog=green""]","{""color:cat=red"": true, ""color:dog=green"": true, ""count:cat=1"": false, ""count:dog=1"": true}","{""colors"": {""cat"": {""confidence"": 0.9891996383666992, ""label"": ""red"", ""margin"": 0.9852615594863892}, ""dog"": {""confidence"": 0.5391992926597595, ""label"": ""green"", ""margin"": 0.12509030103683472}}, ""detections"": {""cat"": [{""box"": [45.630001068115234, 178.07000732421875, 224.77999877929688, 482.3699951171875], ""score"": 0.720068633556366}, {""box"": [330.3999938964844, 365.4599914550781, 509.9100036621094, 479.0799865722656], ""score"": 0.13222894072532654}], ""dog"": [{""box"": [192.47000122070312, 42.560001373291016, 510.4700012207031, 482.6600036621094], ""score"": 0.65180903673172}]}, ""relations"": {}}",0,0,0.0,1,0.8845248473808169,13622855168,item_00003
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_existence_011,existence,p3,equivalent,71,images/sdxl/main_existence_011/p3/seed_71.png,1f10bf9e7e247d680f760cf89c3a546a85daf25d7cb5ed805b16fbf8589e0802,1,1.0,11,"[""exists:clock"", ""exists:cat""]","{""exists:cat"": true, ""exists:clock"": true}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [272.8500061035156, 207.6199951171875, 508.8500061035156, 469.0299987792969], ""score"": 0.7851690053939819}], ""clock"": [{""box"": [1.1399999856948853, 240.02999877929688, 208.47000122070312, 501.45001220703125], ""score"": 0.6237096190452576}, {""box"": [95.0999984741211, 294.45001220703125, 183.88999938964844, 449.6099853515625], ""score"": 0.45409736037254333}]}, ""relations"": {}}",0,0,,0,1.4984583868645132,8061359616,item_00004
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_existence_002,existence,p1,equivalent,131,images/pixart_sigma/main_existence_002/p1/seed_131.png,8df74c138d57399f651beaa1d68ea31b559239c3d6df26a3b8cb78af8631883d,1,1.0,11,"[""exists:apple"", ""exists:banana""]","{""exists:apple"": true, ""exists:banana"": true}","{""colors"": {}, ""detections"": {""apple"": [{""box"": [353.44000244140625, 327.8599853515625, 481.1099853515625, 470.3299865722656], ""score"": 0.8165655136108398}, {""box"": [243.75999450683594, 329.82000732421875, 362.4200134277344, 463.6099853515625], ""score"": 0.7652573585510254}], ""banana"": [{""box"": [17.440000534057617, 75.05000305175781, 248.5399932861328, 378.8699951171875], ""score"": 0.6986194849014282}, {""box"": [268.57000732421875, 68.87000274658203, 407.2900085449219, 349.3800048828125], ""score"": 0.5842282772064209}, {""box"": [262.1499938964844, 100.94999694824219, 318.260009765625, 326.05999755859375], ""score"": 0.35180798172950745}, {""box"": [148.0800018310547, 89.7699966430664, 244.9600067138672, 326.4200134277344], ""score"": 0.13168907165527344}]}, ""relations"": {}}",0,0,,0,0.8837130442261696,13622855168,item_00005
sd15,stable-diffusion-v1-5/stable-diffusion-v1-5,main_existence_023,existence,p3,equivalent,11,images/sd15/main_existence_023/p3/seed_11.png,07a003053f16d0eb3154b7b0a0818cefcedd36d322c12910fc0c2e00a911134d,1,1.0,11,"[""exists:clock"", ""exists:dog""]","{""exists:clock"": true, ""exists:dog"": true}","{""colors"": {}, ""detections"": {""clock"": [{""box"": [278.9700012207031, 218.72000122070312, 401.8699951171875, 358.07000732421875], ""score"": 0.622972309589386}], ""dog"": [{""box"": [4.449999809265137, 145.8300018310547, 293.5799865722656, 502.82000732421875], ""score"": 0.6301054954528809}]}, ""relations"": {}}",0,0,,0,0.8246244499459863,3439791104,item_00006
sdxl,stabilityai/stable-diffusion-xl-base-1.0,main_color_binding_009,color_binding,p3,equivalent,101,images/sdxl/main_color_binding_009/p3/seed_101.png,caec67f59f4ad5bf61b07ed79944cc420486018e997fabd25a26d6e258202964,0,0.25,1000,"[""count:bicycle=1"", ""count:ball=1"", ""color:bicycle=yellow"", ""color:ball=purple""]","{""color:ball=purple"": false, ""color:bicycle=yellow"": false, ""count:ball=1"": false, ""count:bicycle=1"": true}","{""colors"": {""ball"": {""confidence"": 0.0, ""label"": null, ""margin"": 0.0}, ""bicycle"": {""confidence"": 0.7787702083587646, ""label"": ""purple"", ""margin"": 0.6493027806282043}}, ""detections"": {""ball"": [], ""bicycle"": [{""box"": [-1.690000057220459, 249.1199951171875, 199.39999389648438, 391.5799865722656], ""score"": 0.7472718954086304}]}, ""relations"": {}}",0,0,,1,1.5134156798012557,8060573184,item_00007
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_existence_011,existence,p2,equivalent,131,images/pixart_sigma/main_existence_011/p2/seed_131.png,806b3ec17c08ea1113ef4acb072c36580dfe33971b5b7c00b67a0eedd323f3d1,1,1.0,11,"[""exists:clock"", ""exists:cat""]","{""exists:cat"": true, ""exists:clock"": true}","{""colors"": {}, ""detections"": {""cat"": [{""box"": [264.6300048828125, 173.6699981689453, 506.3999938964844, 460.32000732421875], ""score"": 0.7885931730270386}], ""clock"": [{""box"": [35.0, 33.849998474121094, 325.3599853515625, 438.6400146484375], ""score"": 0.5496044158935547}, {""box"": [107.37000274658203, 159.89999389648438, 289.80999755859375, 364.739990234375], ""score"": 0.43535345792770386}]}, ""relations"": {}}",0,0,,0,0.8707379661500454,13622855168,item_00008
pixart_sigma,PixArt-alpha/PixArt-Sigma-XL-2-512-MS,main_count_010,count,p0,equivalent,29,images/pixart_sigma/main_count_010/p0/seed_29.png,997c6d9594d654b8336a2d738bea67d93f02ee062c43b96e4ba710978889cf15,1,1.0,1,"[""count:cup=4""]","{""count:cup=4"": true}","{""colors"": {}, ""detections"": {""cup"": [{""box"": [182.0500030517578, 224.66000366210938, 332.3900146484375, 395.9100036621094], ""score"": 0.6607439517974854}, {""box"": [334.3999938964844, 223.66000366210938, 487.2200012207031, 395.7200012207031], ""score"": 0.6574646830558777}, {""box"": [29.420000076293945, 223.50999450683594, 181.11000061035156, 398.30999755859375], ""score"": 0.6475643515586853}, {""box"": [29.489999771118164, 221.3000030517578, 488.4200134277344, 399.07000732421875], ""score"": 0.2987821102142334}]}, ""relations"": {}}",0,0,0.0,1,0.8815535716712475,13622855168,item_00009
