"audit_id","human_atom_state","notes"
"item_00071","0010",
"item_00080","000",
"item_00097","000",
"item_00145","0001",
"item_00173","1101",
"item_00174","000",
"item_00186","1111",
"item_00187","0010",
"item_00196","1010",
"item_00240","000",
"item_00246","0001",
"item_00249","000",
"item_00253","0100",
"item_00289","0010",
"item_00299","11",
"item_00309","0001",
"item_00314","0010",
"item_00319","0000",
"item_00324","000",
"item_00344","0101",
"item_00405","000",
"item_00423","100",
"item_00431","1111",
"item_00454","000",
"item_00525","0001",
"item_00568","0000",
"item_00581","000",
"item_00583","01",
"item_00596","1000",
"item_00598","0010",
"item_00615","1011",
"item_00653","0001",
"item_00663","110",
"item_00668","111",
"item_00702","000",
"item_00778","10",
"item_00783","01",
"item_00788","0010",
"item_00792","011",
"item_00797","110",
"item_00820","1111",
"item_00830","0001",
"item_00850","0001",
"item_00868","00",
"item_00884","0010",
"item_00886","0001",
"item_00908","10",
"item_00917","01",
"item_00918","010",
"item_00929","100",
"item_00934","1000",
"item_00949","0010",
"item_00954","0010",
"item_00966","000",
"item_00974","0011",
"item_01001","1011",
"item_01002","110",
"item_01019","10",
"item_01024","11",
"item_01026","1011",
"item_01038","110",
"item_01040","1011",
"item_01048","0",
"item_01067","110",
"item_01074","010",
"item_01075","0111",
"item_01079","0011",
"item_01089","101",
"item_01101","1010",
"item_01103","011",
"item_01112","001",
"item_01118","0000",
"item_01122","000",
"item_01130","1",
"item_01134","0111",
"item_01139","0111",
"item_01144","0110",
"item_01147","1101",
"item_01149","110",
"item_01152","10",
"item_01154","01",
"item_01156","101",
"item_01163","01",
"item_01165","1101",
"item_01168","1101",
"item_01170","0",
"item_01174","1001",
"item_01176","0011",
"item_01179","1011",
"item_01190","101",
"item_01191","110",
"item_01193","0101",
"item_01194","1",
"item_01200","01",
"item_01219","101",
"item_01222","0",
"item_01235","110",
"item_01239","1010",
"item_01249","0010",
"item_01261","110",
"item_01267","0010",
"item_01270","1",
"item_01271","101",
"item_01272","110",
"item_01279","1",
"item_01292","110",
"item_01294","100",
"item_01295","101",
"item_01301","000",
"item_01303","0000",
"item_01316","0010",
"item_01320","0010",
"item_01321","100",
"item_01328","0001",
"item_01330","110",
"item_01332","0010",
"item_01341","110",
"item_01343","011",
"item_01348","0010",
"item_01351","100",
"item_01366","0101",
"item_01371","000",
"item_01374","1001",
"item_01375","1001",
"item_01391","01",
"item_01400","110",
"item_01409","10",
"item_01414","01",
"item_01417","0111",
"item_01418","0010",
"item_01422","110",
"item_01431","0101",
"item_01438","111",
"item_01439","110",
"item_01460","1011",
"item_01468","1101",
"item_01469","000",
"item_01494","0",
"item_01501","000",
"item_01507","01",
"item_01508","01",
"item_01512","000",
"item_01521","111",
"item_01533","111",
