"audit_id","human_atom_state","notes"
"item_00000","1100",
"item_00001","11",
"item_00002","1111",
"item_00003","1111",
"item_00004","11",
"item_00005","11",
"item_00006","11",
"item_00007","1000",
"item_00008","11",
"item_00009","0",
"item_00010","11",
"item_00011","11",
"item_00012","0",
"item_00013","0",
"item_00014","1101",
"item_00015","0",
"item_00016","1",
"item_00017","110",
"item_00018","11",
"item_00019","110",
"item_00020","11",
"item_00021","1",
"item_00022","11",
"item_00023","1111",
"item_00024","111",
"item_00025","1",
"item_00026","110",
"item_00027","1111",
"item_00028","11",
"item_00029","01",
"item_00030","100",
"item_00031","0000",
"item_00032","0",
"item_00033","111",
"item_00034","111",
"item_00035","111",
"item_00036","0",
"item_00037","111",
"item_00038","1",
"item_00039","0",
"item_00040","0",
"item_00041","1110",
"item_00042","0",
"item_00043","1",
"item_00044","1",
"item_00045","111",
"item_00046","11",
"item_00047","11",
"item_00048","0",
"item_00049","0",
"item_00050","111",
"item_00051","111",
"item_00052","11",
"item_00053","11",
"item_00054","0",
"item_00055","1111",
"item_00056","1110",
"item_00057","1",
"item_00058","110",
"item_00059","1101",
"item_00060","1000",
"item_00061","11",
"item_00062","1000",
"item_00063","1111",
"item_00064","11",
"item_00065","110",
"item_00066","0",
"item_00067","1111",
"item_00068","1",
"item_00069","010",
"item_00070","100",
"item_00071","0101",
"item_00072","10",
"item_00073","1",
"item_00074","0",
"item_00075","0",
"item_00076","1111",
"item_00077","0",
"item_00078","1",
"item_00079","110",
"item_00080","010",
"item_00081","01",
"item_00082","01",
"item_00083","010",
"item_00084","1",
"item_00085","0",
"item_00086","11",
"item_00087","111",
"item_00088","0",
"item_00089","11",
"item_00090","1",
"item_00091","11",
"item_00092","11",
"item_00093","11",
"item_00094","11",
"item_00095","1",
"item_00096","1010",
"item_00097","010",
"item_00098","110",
"item_00099","1111",
"item_00100","0",
"item_00101","0",
"item_00102","100",
"item_00103","10",
"item_00104","010",
"item_00105","1111",
"item_00106","111",
"item_00107","1111",
"item_00108","111",
"item_00109","111",
"item_00110","111",
"item_00111","1111",
"item_00112","1",
"item_00113","1101",
"item_00114","1111",
"item_00115","1111",
"item_00116","11",
"item_00117","1101",
"item_00118","0",
"item_00119","11",
"item_00120","11",
"item_00121","111",
"item_00122","10",
"item_00123","110",
"item_00124","1000",
"item_00125","11",
"item_00126","1101",
"item_00127","1",
"item_00128","0",
"item_00129","010",
"item_00130","111",
"item_00131","1111",
"item_00132","0",
"item_00133","1111",
"item_00134","1000",
"item_00135","0",
"item_00136","110",
"item_00137","100",
"item_00138","1111",
"item_00139","0",
"item_00140","0",
"item_00141","100",
"item_00142","111",
"item_00143","11",
"item_00144","1",
"item_00145","0000",
"item_00146","1100",
"item_00147","0",
"item_00148","1100",
"item_00149","111",
"item_00150","0",
"item_00151","1111",
"item_00152","1000",
"item_00153","0",
"item_00154","0",
"item_00155","100",
"item_00156","1010",
"item_00157","11",
"item_00158","111",
"item_00159","11",
"item_00160","11",
"item_00161","1010",
"item_00162","0",
"item_00163","11",
"item_00164","110",
"item_00165","0",
"item_00166","0",
"item_00167","1101",
"item_00168","111",
"item_00169","11",
"item_00170","0",
"item_00171","110",
"item_00172","110",
"item_00173","0000",
"item_00174","000",
"item_00175","0",
"item_00176","000",
"item_00177","11",
"item_00178","11",
"item_00179","1100",
"item_00180","1",
"item_00181","000",
"item_00182","11",
"item_00183","0",
"item_00184","0",
"item_00185","0",
"item_00186","0101",
"item_00187","0001",
"item_00188","110",
"item_00189","11",
"item_00190","111",
"item_00191","101",
"item_00192","0",
"item_00193","1111",
"item_00194","11",
"item_00195","000",
"item_00196","1010",
"item_00197","11",
"item_00198","0000",
"item_00199","1010",
"item_00200","1101",
"item_00201","1000",
"item_00202","0",
"item_00203","1000",
"item_00204","11",
"item_00205","0",
"item_00206","11",
"item_00207","0",
"item_00208","0",
"item_00209","1111",
"item_00210","0",
"item_00211","110",
"item_00212","111",
"item_00213","0000",
"item_00214","0",
"item_00215","000",
"item_00216","11",
"item_00217","0",
"item_00218","1010",
"item_00219","111",
"item_00220","1111",
"item_00221","0",
"item_00222","0",
"item_00223","000",
"item_00224","1",
"item_00225","11",
"item_00226","1111",
"item_00227","110",
"item_00228","0",
"item_00229","1101",
"item_00230","11",
"item_00231","100",
"item_00232","1000",
"item_00233","000",
"item_00234","100",
"item_00235","1111",
"item_00236","1",
"item_00237","1101",
"item_00238","0000",
"item_00239","0",
"item_00240","010",
"item_00241","11",
"item_00242","010",
"item_00243","111",
"item_00244","1101",
"item_00245","100",
"item_00246","0000",
"item_00247","0",
"item_00248","1",
"item_00249","010",
"item_00250","0000",
"item_00251","1",
"item_00252","1111",
"item_00253","0100",
"item_00254","1010",
"item_00255","0000",
"item_00256","110",
"item_00257","11",
"item_00258","111",
"item_00259","11",
"item_00260","1",
"item_00261","11",
"item_00262","1",
"item_00263","1111",
"item_00264","1111",
"item_00265","0",
"item_00266","01",
"item_00267","010",
"item_00268","010",
"item_00269","1111",
"item_00270","0",
"item_00271","010",
"item_00272","10",
"item_00273","100",
"item_00274","11",
"item_00275","1111",
"item_00276","1",
"item_00277","111",
"item_00278","1111",
"item_00279","000",
"item_00280","1",
"item_00281","11",
"item_00282","11",
"item_00283","111",
"item_00284","11",
"item_00285","111",
"item_00286","000",
"item_00287","0",
"item_00288","11",
"item_00289","0000",
"item_00290","0",
"item_00291","11",
"item_00292","100",
"item_00293","11",
"item_00294","110",
"item_00295","1100",
"item_00296","0",
"item_00297","0",
"item_00298","100",
"item_00299","00",
"item_00300","1111",
"item_00301","0",
"item_00302","1101",
"item_00303","0",
"item_00304","1111",
"item_00305","0",
"item_00306","0000",
"item_00307","1111",
"item_00308","1111",
"item_00309","0000",
"item_00310","11",
"item_00311","1010",
"item_00312","000",
"item_00313","1",
"item_00314","0000",
"item_00315","111",
"item_00316","11",
"item_00317","1",
"item_00318","11",
"item_00319","0000",
"item_00320","111",
"item_00321","1110",
"item_00322","1101",
"item_00323","0",
"item_00324","010",
"item_00325","0",
"item_00326","1000",
"item_00327","0",
"item_00328","111",
"item_00329","1111",
"item_00330","11",
"item_00331","0",
"item_00332","111",
"item_00333","0000",
"item_00334","11",
"item_00335","1010",
"item_00336","111",
"item_00337","11",
"item_00338","0",
"item_00339","11",
"item_00340","11",
"item_00341","1",
"item_00342","0",
"item_00343","100",
"item_00344","0100",
"item_00345","10",
"item_00346","111",
"item_00347","100",
"item_00348","11",
"item_00349","1010",
"item_00350","1010",
"item_00351","010",
"item_00352","01",
"item_00353","1111",
"item_00354","1",
"item_00355","0000",
"item_00356","0",
"item_00357","1111",
"item_00358","11",
"item_00359","1010",
"item_00360","1111",
"item_00361","00",
"item_00362","0",
"item_00363","1101",
"item_00364","1",
"item_00365","0",
"item_00366","0",
"item_00367","1",
"item_00368","0000",
"item_00369","11",
"item_00370","11",
"item_00371","1111",
"item_00372","11",
"item_00373","0",
"item_00374","0000",
"item_00375","11",
"item_00376","11",
"item_00377","11",
"item_00378","111",
"item_00379","110",
"item_00380","11",
"item_00381","0",
"item_00382","1",
"item_00383","1111",
"item_00384","1",
"item_00385","1000",
"item_00386","10",
"item_00387","11",
"item_00388","100",
"item_00389","0000",
"item_00390","00",
"item_00391","11",
"item_00392","11",
"item_00393","1110",
"item_00394","1010",
"item_00395","1010",
"item_00396","0",
"item_00397","11",
"item_00398","1",
"item_00399","1000",
"item_00400","1",
"item_00401","1100",
"item_00402","1111",
"item_00403","11",
"item_00404","1010",
"item_00405","010",
"item_00406","00",
"item_00407","1010",
"item_00408","11",
"item_00409","100",
"item_00410","0",
"item_00411","11",
"item_00412","111",
"item_00413","1010",
"item_00414","1100",
"item_00415","100",
"item_00416","1101",
"item_00417","1111",
"item_00418","11",
"item_00419","1111",
"item_00420","11",
"item_00421","111",
"item_00422","111",
"item_00423","000",
"item_00424","1111",
"item_00425","0",
"item_00426","0",
"item_00427","111",
"item_00428","0",
"item_00429","11",
"item_00430","1010",
"item_00431","0101",
"item_00432","1",
"item_00433","0000",
"item_00434","111",
"item_00435","11",
"item_00436","1",
"item_00437","11",
"item_00438","1111",
"item_00439","11",
"item_00440","11",
"item_00441","10",
"item_00442","11",
"item_00443","11",
"item_00444","1010",
"item_00445","0",
"item_00446","0000",
"item_00447","0",
"item_00448","010",
"item_00449","11",
"item_00450","11",
"item_00451","0",
"item_00452","0000",
"item_00453","11",
"item_00454","010",
"item_00455","100",
"item_00456","11",
"item_00457","1111",
"item_00458","1010",
"item_00459","1111",
"item_00460","110",
"item_00461","1111",
"item_00462","01",
"item_00463","01",
"item_00464","0",
"item_00465","0",
"item_00466","000",
"item_00467","01",
"item_00468","11",
"item_00469","11",
"item_00470","11",
"item_00471","1100",
"item_00472","11",
"item_00473","0",
"item_00474","100",
"item_00475","1000",
"item_00476","111",
"item_00477","1010",
"item_00478","0",
"item_00479","1010",
"item_00480","100",
"item_00481","11",
"item_00482","111",
"item_00483","1",
"item_00484","1",
"item_00485","1111",
"item_00486","0",
"item_00487","11",
"item_00488","1000",
"item_00489","0",
"item_00490","111",
"item_00491","0",
"item_00492","0",
"item_00493","100",
"item_00494","111",
"item_00495","0",
"item_00496","1",
"item_00497","010",
"item_00498","100",
"item_00499","1010",
"item_00500","00",
"item_00501","11",
"item_00502","0",
"item_00503","010",
"item_00504","1010",
"item_00505","0",
"item_00506","1101",
"item_00507","1",
"item_00508","111",
"item_00509","0000",
"item_00510","0",
"item_00511","0",
"item_00512","0",
"item_00513","111",
"item_00514","11",
"item_00515","111",
"item_00516","0",
"item_00517","1",
"item_00518","0",
"item_00519","01",
"item_00520","110",
"item_00521","11",
"item_00522","0",
"item_00523","1111",
"item_00524","111",
"item_00525","0101",
"item_00526","100",
"item_00527","000",
"item_00528","1111",
"item_00529","10",
"item_00530","11",
"item_00531","100",
"item_00532","11",
"item_00533","11",
"item_00534","0000",
"item_00535","010",
"item_00536","111",
"item_00537","0",
"item_00538","1101",
"item_00539","11",
"item_00540","1111",
"item_00541","1",
"item_00542","1111",
"item_00543","1111",
"item_00544","1000",
"item_00545","111",
"item_00546","11",
"item_00547","0",
"item_00548","111",
"item_00549","110",
"item_00550","11",
"item_00551","1111",
"item_00552","1",
"item_00553","0",
"item_00554","11",
"item_00555","11",
"item_00556","111",
"item_00557","1",
"item_00558","11",
"item_00559","1111",
"item_00560","10",
"item_00561","11",
"item_00562","1110",
"item_00563","000",
"item_00564","11",
"item_00565","1",
"item_00566","0",
"item_00567","0",
"item_00568","0101",
"item_00569","0",
"item_00570","010",
"item_00571","1000",
"item_00572","110",
"item_00573","11",
"item_00574","11",
"item_00575","100",
"item_00576","111",
"item_00577","1110",
"item_00578","11",
"item_00579","11",
"item_00580","0000",
"item_00581","000",
"item_00582","1",
"item_00583","01",
"item_00584","0",
"item_00585","1110",
"item_00586","11",
"item_00587","1111",
"item_00588","1110",
"item_00589","0",
"item_00590","11",
"item_00591","0000",
"item_00592","0",
"item_00593","1111",
"item_00594","1111",
"item_00595","1111",
"item_00596","0000",
"item_00597","1",
"item_00598","0000",
"item_00599","0",
"item_00600","100",
"item_00601","110",
"item_00602","11",
"item_00603","100",
"item_00604","1010",
"item_00605","010",
"item_00606","0",
"item_00607","11",
"item_00608","1010",
"item_00609","111",
"item_00610","111",
"item_00611","11",
"item_00612","111",
"item_00613","1",
"item_00614","0",
"item_00615","0011",
"item_00616","1111",
"item_00617","11",
"item_00618","111",
"item_00619","1",
"item_00620","1111",
"item_00621","11",
"item_00622","0",
"item_00623","111",
"item_00624","111",
"item_00625","1010",
"item_00626","11",
"item_00627","11",
"item_00628","01",
"item_00629","111",
"item_00630","11",
"item_00631","00",
"item_00632","111",
"item_00633","0",
"item_00634","000",
"item_00635","0",
"item_00636","1",
"item_00637","010",
"item_00638","11",
"item_00639","11",
"item_00640","1",
"item_00641","111",
"item_00642","10",
"item_00643","10",
"item_00644","11",
"item_00645","111",
"item_00646","111",
"item_00647","0",
"item_00648","11",
"item_00649","11",
"item_00650","1111",
"item_00651","1111",
"item_00652","0",
"item_00653","0101",
"item_00654","010",
"item_00655","100",
"item_00656","11",
"item_00657","00",
"item_00658","100",
"item_00659","1100",
"item_00660","111",
"item_00661","0",
"item_00662","111",
"item_00663","110",
"item_00664","10",
"item_00665","11",
"item_00666","010",
"item_00667","111",
"item_00668","010",
"item_00669","0",
"item_00670","1100",
"item_00671","111",
"item_00672","1111",
"item_00673","1",
"item_00674","111",
"item_00675","0",
"item_00676","11",
"item_00677","1010",
"item_00678","11",
"item_00679","1110",
"item_00680","10",
"item_00681","1101",
"item_00682","100",
"item_00683","1000",
"item_00684","0000",
"item_00685","0",
"item_00686","0",
"item_00687","0",
"item_00688","11",
"item_00689","11",
"item_00690","11",
"item_00691","0",
"item_00692","111",
"item_00693","0",
"item_00694","0",
"item_00695","1",
"item_00696","111",
"item_00697","11",
"item_00698","111",
"item_00699","11",
"item_00700","111",
"item_00701","0",
"item_00702","000",
"item_00703","11",
