n,tp,tn,fp,fn,accuracy,precision,recall,specificity,balanced_accuracy,cohen_kappa,n_atoms,atomic_tp,atomic_tn,atomic_fp,atomic_fn,atomic_accuracy,atomic_precision,atomic_recall,atomic_specificity,atomic_balanced_accuracy,atomic_cohen_kappa,atomic_exact_agreement,mean_image_atomic_accuracy,rater_a_joint_positive_rate,rater_b_joint_positive_rate,scope,model,category
128,65,58,5,0,0.9609375,0.9285714285714286,1.0,0.9206349206349206,0.9603174603174602,0.921760391198044,512,401,92,16,3,0.962890625,0.9616306954436451,0.9925742574257426,0.8518518518518519,0.9222130546387972,0.8833796873501486,0.8984375,0.962890625,0.546875,0.5078125,model_category,pixart_sigma,color_binding
128,41,83,3,1,0.96875,0.9318181818181818,0.9761904761904762,0.9651162790697675,0.9706533776301218,0.9299781181619255,128,41,83,3,1,0.96875,0.9318181818181818,0.9761904761904762,0.9651162790697675,0.9706533776301218,0.9299781181619255,0.96875,0.96875,0.34375,0.328125,model_category,pixart_sigma,count
128,125,3,0,0,1.0,1.0,1.0,1.0,1.0,1.0,256,251,1,2,2,0.984375,0.9920948616600791,0.9920948616600791,0.3333333333333333,0.6627140974967062,0.3254281949934124,0.984375,0.984375,0.9765625,0.9765625,model_category,pixart_sigma,existence
128,90,31,7,0,0.9453125,0.9278350515463918,1.0,0.8157894736842105,0.9078947368421053,0.8616429894996912,384,335,33,13,3,0.9583333333333334,0.9626436781609196,0.9911242603550295,0.717391304347826,0.8542577823514278,0.7819420783645658,0.9140625,0.9583333333333333,0.7578125,0.703125,model_category,pixart_sigma,spatial
128,18,106,4,0,0.96875,0.8181818181818182,1.0,0.9636363636363636,0.9818181818181818,0.8817005545286506,512,220,260,22,10,0.9375,0.9090909090909091,0.9565217391304348,0.9219858156028369,0.9392537773666358,0.8743018474191371,0.8203125,0.9375,0.171875,0.140625,model_category,sd15,color_binding
128,30,97,1,0,0.9921875,0.967741935483871,1.0,0.9897959183673469,0.9948979591836735,0.9784801613987895,128,30,97,1,0,0.9921875,0.967741935483871,1.0,0.9897959183673469,0.9948979591836735,0.9784801613987895,0.9921875,0.9921875,0.2421875,0.234375,model_category,sd15,count
128,95,31,2,0,0.984375,0.979381443298969,1.0,0.9393939393939394,0.9696969696969697,0.9583468922876668,256,211,28,10,7,0.93359375,0.9547511312217195,0.9678899082568807,0.7368421052631579,0.8523660067600193,0.7284751684552034,0.9296875,0.93359375,0.7578125,0.7421875,model_category,sd15,existence
128,34,77,17,0,0.8671875,0.6666666666666666,1.0,0.8191489361702128,0.9095744680851063,0.7064220183486238,384,210,142,29,3,0.9166666666666666,0.8786610878661087,0.9859154929577465,0.8304093567251462,0.9081624248414464,0.8287482230955765,0.78125,0.9166666666666665,0.3984375,0.265625,model_category,sd15,spatial
128,19,105,4,0,0.96875,0.8260869565217391,1.0,0.963302752293578,0.981651376146789,0.8862727676588184,512,171,300,26,15,0.919921875,0.868020304568528,0.9193548387096774,0.9202453987730062,0.9198001187413418,0.8290720776471354,0.78125,0.919921875,0.1796875,0.1484375,model_category,sdxl,color_binding
128,31,94,2,1,0.9765625,0.9393939393939394,0.96875,0.9791666666666666,0.9739583333333333,0.9381443298969072,128,31,94,2,1,0.9765625,0.9393939393939394,0.96875,0.9791666666666666,0.9739583333333333,0.9381443298969072,0.9765625,0.9765625,0.2578125,0.25,model_category,sdxl,count
128,90,38,0,0,1.0,1.0,1.0,1.0,1.0,1.0,256,202,42,7,5,0.953125,0.9665071770334929,0.9758454106280193,0.8571428571428571,0.9164941338854382,0.8461692538808212,0.9453125,0.953125,0.703125,0.703125,model_category,sdxl,existence
128,27,100,1,0,0.9921875,0.9642857142857143,1.0,0.9900990099009901,0.995049504950495,0.9768451519536903,384,159,207,10,8,0.953125,0.9408284023668639,0.9520958083832335,0.9539170506912442,0.9530064295372389,0.9047645291961751,0.8828125,0.953125,0.21875,0.2109375,model_category,sdxl,spatial
512,321,175,15,1,0.96875,0.9553571428571429,0.9968944099378882,0.9210526315789473,0.9589735207584178,0.9320233669676049,1280,1028,209,34,9,0.96640625,0.967984934086629,0.991321118611379,0.8600823045267489,0.925701711569064,0.886311997554386,0.94140625,0.9685872395833333,0.65625,0.62890625,model_all,pixart_sigma,all
512,177,311,24,0,0.953125,0.8805970149253731,1.0,0.9283582089552239,0.964179104477612,0.8995930774133452,1280,671,527,62,20,0.9359375,0.9154160982264665,0.9710564399421129,0.8947368421052632,0.9328966410236881,0.8703739839004883,0.880859375,0.9449869791666667,0.392578125,0.345703125,model_all,sd15,all
512,167,337,7,1,0.984375,0.9597701149425287,0.9940476190476191,0.9796511627906976,0.9868493909191584,0.964883401920439,1280,563,643,45,29,0.9421875,0.9259868421052632,0.9510135135135135,0.934593023255814,0.9428032683846637,0.8839397741530739,0.896484375,0.95068359375,0.33984375,0.328125,model_all,sdxl,all
384,102,269,13,0,0.9661458333333334,0.8869565217391304,1.0,0.9539007092198581,0.9769503546099291,0.9166165564241332,1536,792,652,64,28,0.9401041666666666,0.9252336448598131,0.9658536585365853,0.9106145251396648,0.9382340918381251,0.8792716933675979,0.8333333333333334,0.9401041666666666,0.2994791666666667,0.265625,all_models_category,all,color_binding
384,102,274,6,2,0.9791666666666666,0.9444444444444444,0.9807692307692307,0.9785714285714285,0.9796703296703296,0.9478827361563517,384,102,274,6,2,0.9791666666666666,0.9444444444444444,0.9807692307692307,0.9785714285714285,0.9796703296703296,0.9478827361563517,0.9791666666666666,0.9791666666666666,0.28125,0.2708333333333333,all_models_category,all,count
384,310,72,2,0,0.9947916666666666,0.9935897435897436,1.0,0.972972972972973,0.9864864864864865,0.9830866807610993,768,664,71,19,14,0.95703125,0.972181551976574,0.9793510324483776,0.7888888888888889,0.8841199606686332,0.7872040302267003,0.953125,0.95703125,0.8125,0.8072916666666666,all_models_category,all,existence
384,151,208,25,0,0.9348958333333334,0.8579545454545454,1.0,0.8927038626609443,0.9463519313304721,0.867432611577552,1152,704,382,52,14,0.9427083333333334,0.9312169312169312,0.9805013927576601,0.880184331797235,0.9303428622774476,0.8758523395250413,0.859375,0.9427083333333334,0.4583333333333333,0.3932291666666667,all_models_category,all,spatial
1536,665,823,46,2,0.96875,0.9353023909985936,0.9970014992503748,0.9470655926352128,0.9720335459427938,0.9368839533820607,3840,2262,1379,141,58,0.9481770833333333,0.9413233458177278,0.975,0.9072368421052631,0.9411184210526315,0.8906217794572311,0.90625,0.9547526041666666,0.462890625,0.4342447916666667,overall,all,all
