model,case_id,category,variance_wording,variance_seed,variance_interaction,variance_total,wording_disagreement,seed_disagreement,mean_accuracy,empirical_worst_accuracy,crossfit_worst_accuracy,all_wordings_accuracy,semantic_jsd,valid_diversity,valid_diversity_pairs,valid_diversity_wordings,censored_rate,black_rate,uncensored_accuracy
pixart_sigma,main_color_binding_000,color_binding,0.02099609375,0.08740234375,0.09619140625,0.20458984375,0.3125,0.4196428571428571,0.4375,0.25,0.41547619047619044,0.125,0.07944675861073476,,0,0,0.0,0.0,0.4375
pixart_sigma,main_color_binding_003,color_binding,0.024169921875,0.085693359375,0.063720703125,0.173583984375,0.234375,0.34151785714285715,0.0625,0.0,0.0625,0.0,0.09598649691348332,,0,0,0.0,0.0,0.0625
pixart_sigma,main_color_binding_009,color_binding,0.02099609375,0.06396484375,0.10791015625,0.19287109375,0.34375,0.39285714285714285,0.125,0.0,0.13095238095238093,0.0,0.11560557403373954,,0,0,0.0,0.0,0.125
pixart_sigma,main_color_binding_013,color_binding,0.010498046875,0.079833984375,0.116455078125,0.206787109375,0.33854166666666663,0.44866071428571425,0.125,0.0,0.13095238095238093,0.0,0.11828679969044727,,0,0,0.0,0.0,0.125
pixart_sigma,main_count_010,count,0.01953125,0.04296875,0.08984375,0.15234375,0.29166666666666663,0.30357142857142855,0.1875,0.0,0.11845238095238098,0.0,0.048052681793438,,0,0,0.0,0.0,0.1875
pixart_sigma,main_count_016,count,0.0185546875,0.0537109375,0.0986328125,0.1708984375,0.3125,0.3482142857142857,0.21875,0.0,0.11607142857142858,0.0,0.04759956161291987,,0,0,0.0,0.0,0.21875
pixart_sigma,main_count_020,count,0.0107421875,0.0615234375,0.0595703125,0.1318359375,0.1875,0.27678571428571425,0.15625,0.0,0.11160714285714286,0.0,0.03125884293210315,,0,0,0.0,0.0,0.15625
pixart_sigma,main_count_022,count,0.0078125,0.03125,0.0703125,0.109375,0.20833333333333331,0.23214285714285712,0.125,0.0,0.125,0.0,0.023663391536745418,,0,0,0.0,0.0,0.125
pixart_sigma,main_existence_002,existence,0.00146484375,0.00341796875,0.01025390625,0.01513671875,0.03125,0.03125,0.96875,0.875,0.96875,0.875,0.010563934219337661,,0,0,0.0,0.0,0.96875
pixart_sigma,main_existence_011,existence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0,0,0.0,0.0,1.0
pixart_sigma,main_existence_013,existence,0.00146484375,0.00341796875,0.01025390625,0.01513671875,0.03125,0.03125,0.96875,0.875,0.96875,0.875,0.010563934219337661,,0,0,0.0,0.0,0.96875
pixart_sigma,main_existence_023,existence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0,0,0.0,0.0,1.0
pixart_sigma,main_spatial_000,spatial,0.0048828125,0.0556640625,0.0498046875,0.1103515625,0.14583333333333331,0.24107142857142855,0.71875,0.625,0.7217261904761906,0.5,0.05547756338856668,,0,0,0.0,0.0,0.71875
pixart_sigma,main_spatial_008,spatial,0.0244140625,0.0986328125,0.1240234375,0.2470703125,0.3958333333333333,0.5089285714285714,0.3125,0.125,0.24345238095238098,0.125,0.14856754400251296,,0,0,0.0,0.0,0.3125
pixart_sigma,main_spatial_011,spatial,0.016276041666666668,0.042317708333333336,0.07747395833333333,0.13606770833333334,0.25,0.2738095238095238,0.59375,0.375,0.5663690476190476,0.125,0.0568590624998806,,0,0,0.0,0.0,0.59375
pixart_sigma,main_spatial_017,spatial,0.007486979166666667,0.029622395833333332,0.047200520833333336,0.08430989583333333,0.14583333333333331,0.1755952380952381,0.0625,0.0,0.026785714285714284,0.0,0.05702273019271492,,0,0,0.0,0.0,0.0625
sd15,main_color_binding_000,color_binding,0.00439453125,0.03759765625,0.05810546875,0.10009765625,0.16666666666666666,0.21875,0.0,0.0,0.0,0.0,0.043977839492191924,,0,0,0.0,0.0,0.0
sd15,main_color_binding_003,color_binding,0.028076171875,0.062255859375,0.122314453125,0.212646484375,0.40104166666666663,0.421875,0.03125,0.0,0.03125,0.0,0.12847123748927494,,0,0,0.0625,0.0625,0.03333333333333333
sd15,main_color_binding_009,color_binding,0.031494140625,0.065673828125,0.099365234375,0.196533203125,0.3489583333333333,0.37723214285714285,0.0,0.0,0.0,0.0,0.1102134757211038,,0,0,0.0,0.0,0.0
sd15,main_color_binding_013,color_binding,0.04736328125,0.06884765625,0.08544921875,0.20166015625,0.35416666666666663,0.3526785714285714,0.03125,0.0,0.03125,0.0,0.14114467313981746,,0,0,0.0625,0.0625,0.03333333333333333
sd15,main_count_010,count,0.0263671875,0.0302734375,0.0751953125,0.1318359375,0.2708333333333333,0.24107142857142855,0.15625,0.0,0.05208333333333333,0.0,0.0671561528135378,,0,0,0.0,0.0,0.15625
sd15,main_count_016,count,0.0107421875,0.0146484375,0.1064453125,0.1318359375,0.3125,0.27678571428571425,0.15625,0.0,0.1494047619047619,0.0,0.031258842932103154,,0,0,0.0,0.0,0.15625
sd15,main_count_020,count,0.03515625,0.04296875,0.07421875,0.15234375,0.29166666666666663,0.26785714285714285,0.1875,0.0,0.11011904761904762,0.0,0.07185892154792546,,0,0,0.0,0.0,0.1875
sd15,main_count_022,count,0.0078125,0.03125,0.0703125,0.109375,0.20833333333333331,0.23214285714285712,0.125,0.0,0.13095238095238093,0.0,0.02366339153674542,,0,0,0.0,0.0,0.125
sd15,main_existence_002,existence,0.01708984375,0.05419921875,0.04931640625,0.12060546875,0.17708333333333331,0.23660714285714285,0.40625,0.125,0.20595238095238097,0.125,0.052449295543713415,,0,0,0.0,0.0,0.40625
sd15,main_existence_011,existence,0.00146484375,0.00341796875,0.01025390625,0.01513671875,0.03125,0.03125,0.96875,0.875,0.96875,0.875,0.010563934219337661,,0,0,0.0,0.0,0.96875
sd15,main_existence_013,existence,0.00537109375,0.03466796875,0.02978515625,0.06982421875,0.09375,0.14732142857142858,0.84375,0.75,0.9032738095238095,0.625,0.028803213713229036,,0,0,0.0,0.0,0.84375
sd15,main_existence_023,existence,0.0029296875,0.0068359375,0.0205078125,0.0302734375,0.0625,0.0625,0.9375,0.875,0.9732142857142857,0.75,0.02037597481047912,,0,0,0.0,0.0,0.9375
