n,tp,tn,fp,fn,accuracy,precision,recall,specificity,balanced_accuracy,cohen_kappa,n_atoms,atomic_tp,atomic_tn,atomic_fp,atomic_fn,atomic_accuracy,atomic_precision,atomic_recall,atomic_specificity,atomic_balanced_accuracy,atomic_cohen_kappa,atomic_exact_agreement,mean_image_atomic_accuracy,machine_joint_positive_rate,human_joint_positive_rate,scope,model,category
128,20,56,4,48,0.59375,0.8333333333333334,0.29411764705882354,0.9333333333333333,0.6137254901960785,0.21804511278195488,512,313,81,13,105,0.76953125,0.9601226993865031,0.7488038277511961,0.8617021276595744,0.8052529777053853,0.4426156911949221,0.40625,0.76953125,0.1875,0.53125,model_category,pixart_sigma,color_binding
128,10,74,12,32,0.65625,0.45454545454545453,0.23809523809523808,0.8604651162790697,0.5492801771871539,0.11223203026481715,128,10,74,12,32,0.65625,0.45454545454545453,0.23809523809523808,0.8604651162790697,0.5492801771871539,0.11223203026481715,0.65625,0.65625,0.171875,0.328125,model_category,pixart_sigma,count
128,125,2,1,0,0.9921875,0.9920634920634921,1.0,0.6666666666666666,0.8333333333333333,0.7961783439490446,256,253,2,1,0,0.99609375,0.9960629921259843,1.0,0.6666666666666666,0.8333333333333333,0.7981072555205048,0.9921875,0.99609375,0.984375,0.9765625,model_category,pixart_sigma,existence
128,50,34,4,40,0.65625,0.9259259259259259,0.5555555555555556,0.8947368421052632,0.7251461988304093,0.35353535353535354,384,269,38,6,71,0.7994791666666666,0.9781818181818182,0.7911764705882353,0.8636363636363636,0.8274064171122995,0.3985353946297802,0.5546875,0.7994791666666666,0.421875,0.703125,model_category,pixart_sigma,spatial
128,2,110,0,16,0.875,1.0,0.1111111111111111,1.0,0.5555555555555556,0.17684887459807075,512,142,255,18,97,0.775390625,0.8875,0.5941422594142259,0.9340659340659341,0.7641040967400801,0.5393089634451678,0.3828125,0.775390625,0.015625,0.140625,model_category,sd15,color_binding
128,9,87,11,21,0.75,0.45,0.3,0.8877551020408163,0.5938775510204082,0.2123076923076923,128,9,87,11,21,0.75,0.45,0.3,0.8877551020408163,0.5938775510204082,0.2123076923076923,0.75,0.75,0.15625,0.234375,model_category,sd15,count
128,96,26,5,1,0.953125,0.9504950495049505,0.9896907216494846,0.8387096774193549,0.9142001995344198,0.8664347826086957,256,218,24,11,3,0.9453125,0.9519650655021834,0.9864253393665159,0.6857142857142857,0.8360698125404008,0.7436704334143899,0.9140625,0.9453125,0.7890625,0.7578125,model_category,sd15,existence
128,13,84,6,25,0.7578125,0.6842105263157895,0.34210526315789475,0.9333333333333333,0.637719298245614,0.3219412166780588,384,143,151,17,73,0.765625,0.89375,0.6620370370370371,0.8988095238095238,0.7804232804232805,0.5408163265306122,0.4765625,0.7656249999999999,0.1484375,0.296875,model_category,sd15,spatial
128,3,108,1,16,0.8671875,0.75,0.15789473684210525,0.9908256880733946,0.5743602124577499,0.22063037249283668,512,108,285,33,86,0.767578125,0.7659574468085106,0.5567010309278351,0.8962264150943396,0.7264637230110873,0.4784097524226963,0.359375,0.767578125,0.03125,0.1484375,model_category,sdxl,color_binding
128,10,88,6,24,0.765625,0.625,0.29411764705882354,0.9361702127659575,0.6151439299123905,0.27710843373493976,128,10,88,6,24,0.765625,0.625,0.29411764705882354,0.9361702127659575,0.6151439299123905,0.27710843373493976,0.765625,0.765625,0.125,0.265625,model_category,sdxl,count
