labels,model,metric,estimate,ci_low,ci_high,n_scenes,n_finite
automatic_secondary,pixart_sigma,mean_accuracy,0.44140625,0.37109375,0.51171875,16,16
automatic_secondary,pixart_sigma,empirical_worst_accuracy,0.3203125,0.2578125,0.390625,16,16
automatic_secondary,pixart_sigma,crossfit_worst_accuracy,0.421875,0.328125,0.5234375,16,16
automatic_secondary,pixart_sigma,all_wordings_accuracy,0.2890625,0.2421875,0.34375,16,16
automatic_secondary,pixart_sigma,wording_disagreement,0.20182291666666666,0.17317708333333331,0.2347086588541666,16,16
automatic_secondary,pixart_sigma,seed_disagreement,0.25158110119047616,0.22149135044642856,0.2869303385416666,16,16
automatic_secondary,pixart_sigma,variance_wording,0.011830647786458334,0.00927734375,0.014475886027018228,16,16
automatic_secondary,pixart_sigma,variance_seed,0.04621378580729167,0.039540608723958336,0.05383338928222656,16,16
automatic_secondary,pixart_sigma,variance_interaction,0.06385294596354166,0.05444819132486979,0.07375971476236975,16,16
automatic_secondary,pixart_sigma,variance_total,0.12189737955729167,0.10772552490234374,0.13992474873860677,16,16
automatic_secondary,pixart_sigma,semantic_jsd,0.05618467972787261,0.046744449915186975,0.0679095710109755,16,16
automatic_secondary,sd15,mean_accuracy,0.27734375,0.212890625,0.328125,16,16
automatic_secondary,sd15,empirical_worst_accuracy,0.1796875,0.0859375,0.2421875,16,16
automatic_secondary,sd15,crossfit_worst_accuracy,0.265625,0.15625,0.34375,16,16
automatic_secondary,sd15,all_wordings_accuracy,0.15625,0.078125,0.21875,16,16
automatic_secondary,sd15,wording_disagreement,0.23849826388888884,0.20909016927083332,0.2664984809027778,16,16
automatic_secondary,sd15,seed_disagreement,0.2907366071428571,0.2543677920386905,0.32291666666666663,16,16
automatic_secondary,sd15,variance_wording,0.018483479817708332,0.013111241658528644,0.02383982340494791,16,16
automatic_secondary,sd15,variance_seed,0.056243896484375,0.04597969055175782,0.06519711812337238,16,16
automatic_secondary,sd15,variance_interaction,0.070953369140625,0.06259524027506512,0.07937838236490884,16,16
automatic_secondary,sd15,variance_total,0.14568074544270834,0.1287890116373698,0.16218732198079427,16,16
automatic_secondary,sd15,semantic_jsd,0.06752360188939215,0.0554502353858331,0.07832135212027652,16,16
automatic_secondary,sdxl,mean_accuracy,0.255859375,0.226513671875,0.296875,16,16
automatic_secondary,sdxl,empirical_worst_accuracy,0.15625,0.1328125,0.1875,16,16
automatic_secondary,sdxl,crossfit_worst_accuracy,0.234375,0.1796875,0.2890625,16,16
automatic_secondary,sdxl,all_wordings_accuracy,0.1328125,0.109375,0.15625,16,16
automatic_secondary,sdxl,wording_disagreement,0.22384982638888887,0.20062662760416664,0.24891493055555552,16,16
automatic_secondary,sdxl,seed_disagreement,0.30268787202380953,0.26897205171130956,0.3360328311011904,16,16
automatic_secondary,sdxl,variance_wording,0.012140909830729166,0.009058125813802083,0.015574773152669266,16,16
automatic_secondary,sdxl,variance_seed,0.0606231689453125,0.04708124796549479,0.0758008321126302,16,16
automatic_secondary,sdxl,variance_interaction,0.07180277506510416,0.06307398478190104,0.08109868367513018,16,16
automatic_secondary,sdxl,variance_total,0.14456685384114581,0.1283808390299479,0.15999374389648438,16,16
automatic_secondary,sdxl,semantic_jsd,0.05331142666563996,0.04439724954018987,0.06235046630223713,16,16
human_primary,pixart_sigma,mean_accuracy,0.634765625,0.5625,0.7051269531249997,16,16
human_primary,pixart_sigma,empirical_worst_accuracy,0.484375,0.421875,0.5546875,16,16
human_primary,pixart_sigma,crossfit_worst_accuracy,0.5703125,0.5078125,0.6328125,16,16
human_primary,pixart_sigma,all_wordings_accuracy,0.4140625,0.34375,0.4921875,16,16
human_primary,pixart_sigma,wording_disagreement,0.1657986111111111,0.1362847222222222,0.1980360243055555,16,16
human_primary,pixart_sigma,seed_disagreement,0.20414806547619044,0.16949637276785712,0.23786737351190473,16,16
