model,case_id,category,variance_wording,variance_seed,variance_interaction,variance_total,wording_disagreement,seed_disagreement,mean_accuracy,empirical_worst_accuracy,crossfit_worst_accuracy,all_wordings_accuracy,semantic_jsd,valid_diversity,valid_diversity_pairs,valid_diversity_wordings,censored_rate,black_rate,uncensored_accuracy
pixart_sigma,main_color_binding_000,color_binding,0.02294921875,0.06591796875,0.05908203125,0.14794921875,0.21875,0.2857142857142857,0.5625,0.25,0.25,0.25,0.06531164049551329,,0,0,0.0,0.0,0.5625
pixart_sigma,main_color_binding_003,color_binding,0.011962890625,0.024658203125,0.048583984375,0.085205078125,0.16145833333333331,0.16741071428571427,0.6875,0.25,0.25,0.125,0.07773806926391733,,0,0,0.0,0.0,0.6875
pixart_sigma,main_color_binding_009,color_binding,0.021728515625,0.063720703125,0.105224609375,0.190673828125,0.33854166666666663,0.38616071428571425,0.21875,0.125,0.125,0.0,0.13282940544405006,,0,0,0.0,0.0,0.21875
pixart_sigma,main_color_binding_013,color_binding,0.00537109375,0.01708984375,0.04931640625,0.07177734375,0.14583333333333331,0.15178571428571427,0.65625,0.5,0.625,0.375,0.023759999899261613,,0,0,0.0,0.0,0.65625
pixart_sigma,main_count_010,count,0.015625,0.015625,0.078125,0.109375,0.25,0.21428571428571427,0.125,0.0,0.0,0.0,0.04603207849896831,,0,0,0.0,0.0,0.125
pixart_sigma,main_count_016,count,0.03515625,0.05859375,0.12109375,0.21484375,0.41666666666666663,0.4107142857142857,0.3125,0.125,0.25,0.0,0.06218974882020823,,0,0,0.0,0.0,0.3125
pixart_sigma,main_count_020,count,0.01171875,0.12109375,0.08203125,0.21484375,0.25,0.46428571428571425,0.6875,0.5,0.5,0.5,0.01893808774174489,,0,0,0.0,0.0,0.6875
pixart_sigma,main_count_022,count,0.00390625,0.07421875,0.07421875,0.15234375,0.20833333333333331,0.33928571428571425,0.1875,0.125,0.25,0.0,0.008660470906469304,,0,0,0.0,0.0,0.1875
pixart_sigma,main_existence_002,existence,0.00146484375,0.00341796875,0.01025390625,0.01513671875,0.03125,0.03125,0.96875,0.875,1.0,0.875,0.010563934219337661,,0,0,0.0,0.0,0.96875
pixart_sigma,main_existence_011,existence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0,0,0.0,0.0,1.0
pixart_sigma,main_existence_013,existence,0.005859375,0.005859375,0.017578125,0.029296875,0.0625,0.05357142857142857,0.9375,0.75,1.0,0.75,0.03107165298680359,,0,0,0.0,0.0,0.9375
pixart_sigma,main_existence_023,existence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0,0,0.0,0.0,1.0
